,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
573,11187487,Успешно_реализовано,1.0,2020-09-06 22:12:19,2020-09-06 22:15:00,,,,,,1,Вейк-парк,WP692465,,,,,,,,,,,,,,,,,,,,,,
574,11187493,Успешно_реализовано,1.0,2020-09-06 22:13:15,2020-09-06 22:15:00,,,,,,1,Вейк-парк,WP614059,,,,,,,Погашен,,,,,,,,,,,,,,,
589,11748177,Успешно_реализовано,4200.0,2020-09-22 22:52:46,2020-09-24 22:36:00,,,,,,4200,Вейк-парк,60PA15458,,,,,,,Погашен,,,,,,,,,,,,,,,
614,13275489,Успешно_реализовано,4200.0,2020-10-27 15:07:08,2020-10-28 12:30:00,0.0,,Подарочный_сертификатв_Вейк-парк_(Выберите_тип:_60_минут_до_трех_чел._)_-_1x4200_=_4200,4200.0,4200.0,4200,Вейк-парк,WP36601,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
641,14225637,Успешно_реализовано,6000.0,2020-11-25 17:26:32,2020-11-25 18:47:00,,,,,,6000,Авиа_Самолёты,VFM301870691,,,,,,,,,,,,,,,,,,,,,,
655,14508629,Успешно_реализовано,9400.0,2020-12-05 21:41:41,2020-12-07 10:57:00,400.0,,Подарочный_сертификаnна_полёт_на_самолёте_(Выберите_вариант_сертификата:_45_минут_полёта_)_-_1x9000_=_9000,9400.0,9000.0,9400,Авиа_Самолёты,FM45013348,,,,,,,,,,,,,,,,,,,,,,
657,14593173,Успешно_реализовано,9290.0,2020-12-08 15:37:44,2020-12-14 21:33:00,290.0,,Подарочный_сертификаnна_полёт_на_самолёте_(Выберите_вариант_сертификата:_45_минут_полёта_)_-_1x9000_=_9000,9290.0,9000.0,9290,Авиа_Самолёты,FM45012363,,,,,,,Погашен,,,,,,,,,,,,,,,
684,14927783,Успешно_реализовано,6000.0,2020-12-23 13:07:11,2020-12-23 14:45:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM302010311,,,,,,,,,,,,,,,,,,,,,,
704,14986817,Успешно_реализовано,7500.0,2020-12-26 12:11:47,2020-12-28 15:28:00,,,,,,7500,Фотосессия,75569,,PH013,,,,,,,,,,,,,,,,,,,,
752,15071585,Успешно_реализовано,6000.0,2021-01-01 20:29:29,2021-01-02 11:36:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM302538258,,,,,,,,,,,,,,,,,,,,,,
