,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
155,24200349,Успешно_реализовано,8000.0,2023-02-05 13:12:31,2023-03-05 08:17:00,0.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_110400,,,,,,,,MT2,110400,MT2,paper,design1,,8000.0,,,,,
198,25220183,Успешно_реализовано,7000.0,2023-02-09 11:57:01,2023-02-09 20:28:00,,,"Стендовая_стрельба_по_тарелкам_(Варианты:_70_выстрелов,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7000.0,7000.0,7000,Тир._Стендовая_стрельба,SC7_11278,,,,,,,,SC7,11278,SC7,paper,design1,,7000.0,,,,,
215,25492135,Успешно_реализовано,7000.0,2023-02-10 17:09:47,2023-03-10 13:06:00,0.0,,"Стендовая_стрельба_по_тарелкам_(Варианты:_70_выстрелов,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7000.0,7000.0,7000,Тир._Стендовая_стрельба,SC7_213733,,,,,,,,SC7,213733,SC7,paper,design1,,7000.0,,,,,
217,25492649,Успешно_реализовано,8000.0,2023-02-10 18:20:34,2023-03-10 13:06:00,,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8000.0,8000.0,8000,Мото_Мотокросс,MT2_250136,,,,,,,,MT2,250136,MT2,paper,design1,,8000.0,,,,,
238,23687925,Успешно_реализовано,8350.0,2023-02-16 11:14:24,2023-02-17 13:06:00,350.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8350.0,8000.0,8350,Мото_Мотокросс,MT2_133760,,,,,Погашен,2023-12-08,,MT2,133760,MT2,paper,design1,sold_used,8000.0,,,,,2023-12-08
247,23700255,Успешно_реализовано,21800.0,2023-02-18 12:45:23,2023-02-21 08:36:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x21800_=_21800",21800.0,21800.0,21800,Парашюты,SP_297049,,,,,Погашен,2023-06-27,,SP,297049,SP,paper,design1,sold_used,21800.0,,,,,2023-06-27
303,23721275,Успешно_реализовано,44300.0,2023-02-21 20:02:02,2023-02-23 09:34:00,700.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_для_двоих_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x43600_=_43600",44300.0,43600.0,44300,Парашюты,SP2_261670,,,,,,,,SP2,261670,SP2,paper,design1,,43600.0,,,,,
327,23727021,Успешно_реализовано,22300.0,2023-02-22 17:12:52,2023-02-23 16:17:00,500.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x21800_=_21800",22300.0,21800.0,22300,Парашюты,SP_267413,,,,,,,,SP,267413,SP,paper,design1,,21800.0,,,,,
352,23729673,Успешно_реализовано,18000.0,2023-02-23 11:06:34,2023-02-23 11:14:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x18000_=_18000",18000.0,18000.0,18000,Парашюты,S_252659,,,,,Погашен,2023-06-20,,S,252659,S,paper,design1,sold_used,18000.0,,,,,2023-06-20
412,23997707,Успешно_реализовано,21800.0,2023-03-04 14:18:35,2023-04-04 16:25:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x21800_=_21800",21800.0,21800.0,21800,Парашюты,SP_248509,,,,,,,,SP,248509,SP,paper,design1,,21800.0,,,,,
420,24207627,Успешно_реализовано,22500.0,2023-03-05 13:43:04,2023-04-05 16:28:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x22500_=_22500",22500.0,22500.0,22500,Парашюты,SP_279692,,,,,,,,SP,279692,SP,paper,design1,,22500.0,,,,,
455,24717855,Успешно_реализовано,6950.0,2023-03-07 20:51:29,2023-05-07 09:35:00,450.0,,"Полет_на_параплане_(Варианты:_2_полета_с_инструктором_(для_двоих),_Бумажный_или_электронный:_Бумажный)_-_1x6500_=_6500",6950.0,6500.0,6950,Параплан,P2_288392,,,,,,,,P2,288392,P2,paper,design1,,6500.0,,,,,
525,23918277,Успешно_реализовано,7700.0,2023-03-22 14:57:34,2023-03-25 10:04:00,700.0,,"Полет_на_параплане_(Варианты:_Мини_курс_«Второй_пилот»,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7700.0,7000.0,7700,Параплан,P1P_257415,,,,,Погашен,2023-06-14,,P1P,257415,P1P,paper,design1,sold_used,7000.0,,,,,2023-06-14
547,23943287,Успешно_реализовано,3500.0,2023-03-26 19:15:24,2023-03-26 19:19:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_250424,,,,,,,,P1,250424,P1,paper,design1,,3500.0,,,,,
587,24218595,Успешно_реализовано,4850.0,2023-04-05 10:29:24,2023-04-05 16:31:00,350.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4850.0,4500.0,4850,Параплан,P1G_273933,,,,,,,,P1G,273933,P1G,paper,design1,,4500.0,,,,,
